case_type,metric_type,n_samples,EER,F1,Accuracy,presence_accuracy,presence_auc
A_impersonation,fake_detection,777,0.07316794516076384,0.9576719576719577,0.9382239382239382,,
B_institution_ars,fake_detection,432,0.08327615780445971,0.8968609865470852,0.8935185185185185,,
C_realtime_vc,fake_detection,785,0.08742960579243766,0.9491228070175438,0.9261146496815287,,
D_partial_splice,fake_detection,280,0.3022727272727273,0.53125,0.7857142857142857,,
E_phone_channel,fake_detection,476,0.09481564664046416,0.9404309252217997,0.9012605042016807,,
G_full_ai_music,fake_detection,181,0.027383619616629336,0.9387755102040817,0.9502762430939227,,
H_hybrid_composed__music,fake_detection,30,,,,,
H_hybrid_composed__voice,fake_detection,30,,,,,
I_bgm_evasion,presence_robustness(voice),90,,,,0.4888888888888889,0.6037449392712552
I_bgm_evasion__music_presence,presence_robustness(music),90,,,,0.9333333333333333,
