path_in_repo,lang,model,filename,split
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_02_f000033.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_02_f000033,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_02_f000147.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_02_f000147,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_03_f000061.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_03_f000061,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_04_f000036.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_04_f000036,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_04_f000074.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_04_f000074,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_05_f000021.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_05_f000021,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_05_f000074.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_05_f000074,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_06_f000005.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_06_f000005,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_06_f000065.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_06_f000065,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_06_f000066.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_06_f000066,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_07_f000005.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_07_f000005,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_07_f000037.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_07_f000037,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_08_f000038.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_08_f000038,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_08_f000074.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_08_f000074,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_09_f000089.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_09_f000089,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_10_f000045.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_10_f000045,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_11_f000029.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_11_f000029,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_11_f000071.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_11_f000071,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_12_f000057.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_12_f000057,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_12_f000064.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_12_f000064,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_12_f000111.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_12_f000111,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_12_f000113.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_12_f000113,valid
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_12_f000119.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_12_f000119,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_13_f000026.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_13_f000026,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_13_f000074.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_13_f000074,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_14_f000009.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_14_f000009,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_14_f000062.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_14_f000062,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_14_f000095.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_14_f000095,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_15_f000062.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_15_f000062,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_15_f000120.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_15_f000120,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_17_f000063.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_17_f000063,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_18_f000025.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_18_f000025,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_19_f000037.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_19_f000037,valid
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_19_f000085.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_19_f000085,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_20_f000011.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_20_f000011,train
fake/en/Chatterbox-Turbo/dorothy_and_wizard_oz_20_f000033.wav,en,Chatterbox-Turbo,dorothy_and_wizard_oz_20_f000033,train
fake/en/Chatterbox-Turbo/emerald_city_of_oz_01_f000085.wav,en,Chatterbox-Turbo,emerald_city_of_oz_01_f000085,valid
fake/en/Chatterbox-Turbo/emerald_city_of_oz_02_f000029.wav,en,Chatterbox-Turbo,emerald_city_of_oz_02_f000029,valid
fake/en/Chatterbox-Turbo/emerald_city_of_oz_03_f000068.wav,en,Chatterbox-Turbo,emerald_city_of_oz_03_f000068,train
