path_in_repo,lang,model,filename,split
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_02_f000034.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_02_f000034,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_02_f000143.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_02_f000143,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_02_f000154.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_02_f000154,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_03_f000133.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_03_f000133,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_04_f000006.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_04_f000006,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_04_f000083.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_04_f000083,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_05_f000087.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_05_f000087,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_06_f000021.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_06_f000021,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_06_f000027.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_06_f000027,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_07_f000039.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_07_f000039,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_07_f000044.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_07_f000044,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_08_f000003.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_08_f000003,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_09_f000119.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_09_f000119,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_09_f000120.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_09_f000120,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_10_f000034.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_10_f000034,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_11_f000047.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_11_f000047,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_12_f000013.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_12_f000013,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_12_f000034.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_12_f000034,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_13_f000020.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_13_f000020,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_13_f000052.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_13_f000052,train
