filename,split,source,label,duration
fake_00539_suno_1,train,suno,fake,178.704
fake_02342_suno_1,train,suno,fake,188.856
fake_03323_udio_1,train,udio,fake,131.22
fake_04209_suno_1,train,suno,fake,240.084
fake_00968_udio_1,train,udio,fake,131.22
fake_04969_suno_0,train,suno,fake,176.292
fake_02582_udio_0,train,udio,fake,131.22
fake_01943_udio_1,train,udio,fake,131.22
fake_04863_suno_1,train,suno,fake,187.344
fake_04169_suno_0,train,suno,fake,213.984
fake_05193_suno_0,train,suno,fake,239.076
fake_03583_suno_0,train,suno,fake,239.112
fake_03457_udio_1,train,udio,fake,131.22
fake_03595_suno_1,train,suno,fake,210.096
fake_05283_udio_0,train,udio,fake,131.22
fake_03386_suno_1,train,suno,fake,240.084
fake_04886_suno_0,train,suno,fake,239.112
fake_04280_udio_1,train,udio,fake,131.22
fake_03302_udio_0,train,udio,fake,131.22
fake_02484_udio_1,train,udio,fake,131.22
fake_05156_udio_0,train,udio,fake,131.22
fake_04530_suno_0,train,suno,fake,148.104
fake_01576_udio_1,train,udio,fake,131.22
fake_01503_suno_0,train,suno,fake,239.328
fake_01156_udio_1,train,udio,fake,131.22
fake_01545_suno_0,train,suno,fake,188.352
fake_02429_suno_0,train,suno,fake,239.076
fake_02843_suno_1,train,suno,fake,171.684
fake_04843_udio_1,train,udio,fake,131.22
fake_04390_udio_1,train,udio,fake,131.22
fake_04735_udio_0,train,udio,fake,131.22
fake_04857_suno_1,train,suno,fake,168.084
fake_04052_udio_1,train,udio,fake,131.22
fake_02955_udio_0,train,udio,fake,131.22
fake_04427_suno_1,train,suno,fake,152.1
fake_01291_suno_0,train,suno,fake,173.664
fake_01867_udio_0,train,udio,fake,131.22
fake_03975_suno_0,train,suno,fake,192.78
fake_04981_udio_0,train,udio,fake,131.22
fake_00018_suno_0,train,suno,fake,194.4
fake_01315_udio_0,train,udio,fake,131.22
fake_05233_udio_0,train,udio,fake,131.22
fake_00539_suno_0,train,suno,fake,203.58
fake_04813_udio_1,train,udio,fake,131.22
fake_00334_suno_1,train,suno,fake,224.64
fake_02868_suno_1,train,suno,fake,188.424
fake_03644_suno_0,train,suno,fake,156.744
fake_01064_udio_0,train,udio,fake,131.22
fake_02787_udio_1,train,udio,fake,131.22
fake_00629_udio_0,train,udio,fake,131.22
fake_02364_suno_0,train,suno,fake,239.112
fake_02972_udio_0,train,udio,fake,131.22
fake_05352_suno_1,train,suno,fake,181.44
fake_05003_suno_0,train,suno,fake,239.076
fake_00018_suno_1,train,suno,fake,240.084
fake_03160_udio_0,train,udio,fake,131.22
fake_01742_suno_0,train,suno,fake,171.396
fake_02008_udio_0,train,udio,fake,131.22
fake_04480_udio_0,train,udio,fake,131.22
fake_04457_suno_1,train,suno,fake,231.084
fake_04273_suno_1,train,suno,fake,240.084
fake_00658_suno_0,train,suno,fake,239.112
fake_04682_suno_0,train,suno,fake,163.656
fake_03301_udio_0,train,udio,fake,131.22
fake_00813_suno_1,train,suno,fake,163.872
fake_02842_suno_1,train,suno,fake,195.084
fake_03981_suno_0,train,suno,fake,209.016
fake_01216_suno_0,train,suno,fake,196.956
fake_01312_suno_0,train,suno,fake,239.112
fake_03019_udio_1,train,udio,fake,131.22
fake_00286_udio_1,train,udio,fake,131.22
fake_04395_suno_0,train,suno,fake,177.768
fake_03977_suno_1,train,suno,fake,240.084
fake_01940_suno_0,train,suno,fake,239.076
fake_03783_suno_0,train,suno,fake,199.08
fake_05418_udio_0,train,udio,fake,131.22
fake_04352_udio_1,train,udio,fake,131.22
fake_01685_udio_0,train,udio,fake,131.22
fake_03795_udio_0,train,udio,fake,131.22
fake_03816_suno_1,train,suno,fake,192.096
fake_03804_suno_0,train,suno,fake,240.084
fake_02253_udio_0,train,udio,fake,131.22
fake_00865_udio_0,train,udio,fake,131.22
fake_03483_suno_1,train,suno,fake,190.476
fake_03114_suno_1,train,suno,fake,240.084
fake_00759_suno_1,train,suno,fake,173.7
fake_04637_udio_0,train,udio,fake,131.22
fake_02777_suno_0,train,suno,fake,217.224
fake_00660_suno_1,train,suno,fake,197.1
fake_00621_suno_0,train,suno,fake,226.368
fake_03424_udio_0,train,udio,fake,131.22
fake_04146_udio_0,train,udio,fake,131.22
fake_04897_udio_1,train,udio,fake,131.22
fake_04857_suno_0,train,suno,fake,166.104
fake_05364_suno_1,train,suno,fake,205.092
fake_03563_udio_0,train,udio,fake,131.22
fake_00642_udio_0,train,udio,fake,131.22
fake_04360_udio_0,train,udio,fake,131.22
fake_03176_udio_0,train,udio,fake,131.22
fake_03072_suno_1,train,suno,fake,190.044
fake_00876_suno_1,train,suno,fake,212.976
fake_04981_udio_1,train,udio,fake,131.22
fake_02709_suno_0,train,suno,fake,173.556
fake_02858_udio_1,train,udio,fake,131.22
fake_02748_suno_0,train,suno,fake,239.076
fake_05280_udio_1,train,udio,fake,131.22
fake_00645_suno_0,train,suno,fake,180.756
fake_04964_suno_0,train,suno,fake,171.072
fake_02624_udio_1,train,udio,fake,131.22
fake_05390_udio_1,train,udio,fake,131.22
fake_00007_suno_0,train,suno,fake,159.084
fake_02240_udio_0,train,udio,fake,131.22
fake_04601_suno_1,train,suno,fake,148.68
fake_02528_suno_1,train,suno,fake,239.076
fake_04962_suno_0,train,suno,fake,240.084
fake_03581_udio_0,train,udio,fake,131.22
fake_03616_udio_0,train,udio,fake,131.22
fake_03490_udio_1,train,udio,fake,131.22
fake_00100_suno_0,train,suno,fake,161.676
fake_01138_udio_0,train,udio,fake,131.22
fake_00093_suno_0,train,suno,fake,240.084
fake_02501_suno_1,train,suno,fake,239.112
fake_02185_udio_0,train,udio,fake,131.22
fake_01854_suno_1,train,suno,fake,169.092
fake_04205_udio_0,train,udio,fake,131.22
fake_02518_udio_0,train,udio,fake,131.22
fake_02188_suno_1,train,suno,fake,239.112
fake_03252_suno_1,train,suno,fake,240.084
fake_02861_suno_1,train,suno,fake,198.72
fake_05104_suno_0,train,suno,fake,239.472
fake_04554_suno_0,train,suno,fake,197.964
fake_02624_udio_0,train,udio,fake,131.22
fake_01607_suno_1,train,suno,fake,162.144
fake_04640_udio_1,train,udio,fake,131.22
fake_05170_suno_0,train,suno,fake,216.36
fake_03340_udio_0,train,udio,fake,131.22
fake_00049_suno_0,train,suno,fake,208.08
fake_03901_udio_0,train,udio,fake,131.22
fake_04610_udio_0,train,udio,fake,131.22
fake_01317_udio_1,train,udio,fake,131.22
fake_03927_suno_0,train,suno,fake,183.06
fake_04216_udio_0,train,udio,fake,131.22
fake_00814_suno_0,train,suno,fake,120.204
fake_02981_suno_0,train,suno,fake,227.772
fake_05188_suno_0,train,suno,fake,174.996
fake_01931_suno_1,train,suno,fake,240.084
fake_01595_suno_1,train,suno,fake,203.976
fake_03285_suno_0,train,suno,fake,151.092
fake_01639_suno_0,train,suno,fake,162.432
fake_03227_udio_0,train,udio,fake,131.22
fake_03170_udio_0,train,udio,fake,131.22
fake_00154_suno_1,train,suno,fake,239.076
fake_01374_suno_1,train,suno,fake,240.084
fake_03144_udio_1,train,udio,fake,131.22
fake_00190_udio_1,train,udio,fake,131.22
fake_03087_suno_0,train,suno,fake,233.28
fake_03301_udio_1,train,udio,fake,131.22
fake_03496_suno_0,train,suno,fake,208.836
fake_01508_udio_0,train,udio,fake,131.22
fake_00957_udio_1,train,udio,fake,131.22
fake_03046_udio_1,train,udio,fake,131.22
fake_01789_udio_0,train,udio,fake,131.22
fake_00057_suno_0,train,suno,fake,239.184
fake_00828_udio_0,train,udio,fake,131.22
fake_05241_suno_0,train,suno,fake,239.076
fake_05055_udio_0,train,udio,fake,131.22
fake_00423_udio_0,train,udio,fake,131.22
fake_04758_suno_1,train,suno,fake,213.084
fake_00976_udio_1,train,udio,fake,131.22
fake_04451_suno_0,train,suno,fake,182.916
fake_04033_udio_1,train,udio,fake,131.22
fake_02316_suno_0,train,suno,fake,239.112
fake_04331_suno_1,train,suno,fake,240.084
fake_00865_udio_1,train,udio,fake,131.22
fake_00704_suno_1,train,suno,fake,230.076
fake_04158_suno_1,train,suno,fake,184.824
fake_04802_udio_1,train,udio,fake,131.22
fake_04338_suno_0,train,suno,fake,240.084
fake_01515_udio_0,train,udio,fake,131.22
fake_04221_suno_0,train,suno,fake,239.184
fake_04965_udio_0,train,udio,fake,131.22
fake_04749_suno_1,train,suno,fake,179.604
fake_02566_suno_0,train,suno,fake,190.764
fake_04368_udio_0,train,udio,fake,131.22
fake_01562_udio_1,train,udio,fake,131.22
fake_02067_suno_0,train,suno,fake,206.46
fake_03224_udio_1,train,udio,fake,131.22
fake_03531_suno_1,train,suno,fake,240.084
fake_01691_suno_1,train,suno,fake,219.6
fake_04172_udio_0,train,udio,fake,131.22
fake_01551_suno_0,train,suno,fake,199.08
fake_03039_suno_0,train,suno,fake,181.368
fake_02003_udio_1,train,udio,fake,131.22
fake_03591_suno_0,train,suno,fake,240.084
fake_05117_suno_1,train,suno,fake,240.084
fake_03157_suno_0,train,suno,fake,239.076
