path,lang,label,technique,system_id,speaker_id,source,text,augmentation
data/processed/en_augmented/LA_T_6741908_aug.wav,en,bonafide,real,-,LA_0086,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_5805796_aug.wav,en,bonafide,real,-,LA_0096,asvspoof2019la,,none
data/processed/en_mlaad_augmented/jane_eyre_21_f000318_aug.wav,en,spoof,tts,ElevenLabs-v3,-,mlaad,,codec
data/processed/en_augmented/LA_T_1596451_aug.wav,en,bonafide,real,-,LA_0079,asvspoof2019la,,rawboost+codec
data/processed/en_mlaad_augmented/northandsouth_28_f000230_aug.wav,en,spoof,tts,kokoro,-,mlaad,,rawboost
data/processed/en_augmented/LA_T_5315235_aug.wav,en,bonafide,real,-,LA_0092,asvspoof2019la,,rawboost
data/processed/en_mlaad_augmented/wives_and_daughters_52_f000149_aug.wav,en,spoof,tts,ElevenLabs-v3,-,mlaad,,rawboost
data/processed/en_augmented/LA_T_9483901_aug.wav,en,bonafide,real,-,LA_0090,asvspoof2019la,,none
data/processed/en_augmented/LA_T_2547751_aug.wav,en,bonafide,real,-,LA_0086,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_3957794_aug.wav,en,bonafide,real,-,LA_0094,asvspoof2019la,,rawboost
data/processed/en_mlaad_augmented/ozma_of_oz_21_f000052_aug.wav,en,spoof,tts,ElevenLabs-Turbo-v2.5,-,mlaad,,codec
data/processed/en_augmented/LA_T_6769763_aug.wav,en,bonafide,real,-,LA_0081,asvspoof2019la,,rawboost
data/processed/en_mlaad_augmented/skyisland_11_baum_64kb_f000041_aug.wav,en,spoof,tts,Qwen3-TTS-12Hz-1.7B-Base,-,mlaad,,rawboost
data/processed/en_augmented/LA_T_9242200_aug.wav,en,bonafide,real,-,LA_0080,asvspoof2019la,,rawboost+codec
data/processed/en_augmented/LA_T_7647145_aug.wav,en,spoof,vc,A06,LA_0080,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_5340625_aug.wav,en,bonafide,real,-,LA_0093,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_3635733_aug.wav,en,bonafide,real,-,LA_0079,asvspoof2019la,,none
data/processed/en_augmented/LA_T_6271185_aug.wav,en,bonafide,real,-,LA_0088,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_4810261_aug.wav,en,bonafide,real,-,LA_0093,asvspoof2019la,,codec
